"id";"case_type";"company_or_scenario";"industry";"ai_area";"financial_metric_type";"reported_financial_effect";"reported_money_low";"reported_money_high";"currency";"financial_percent_low";"financial_percent_high";"annualization";"supporting_operational_metric";"implementation_pattern";"revizor_zone";"recommended_reuse";"source_url";"source_quality";"confidence"
"FIN-021";"real_public";"Sanmarco Informatica";"Software, contracts";"Generative AI contract review";"cost_savings";"EUR 4,000 saved for one customer using Firmae";"4000";"4000";"EUR";"";"";"single_customer_case";"40% more supplier contracts and 333% more customer contracts vs previous year";"Digital signature and contract AI features on AWS";"operations, finance";"Use as small-ticket contract-review example for SMBs";"https://aws.amazon.com/solutions/case-studies/sanmarco-informatica-case-study/";"primary_vendor_case";"medium"
"FIN-022";"real_public";"EagleView";"Geospatial software";"ML infrastructure";"cost_percent";"Compute costs reduced 40-50%";"";"";"USD";"40";"50";"workload_run_rate";"Model performance improved 300-400%, processing time down 90%";"Amazon SageMaker model optimization";"operations, finance";"Use for ML workload optimization and data-extraction cost cases";"https://aws.amazon.com/cn/solutions/case-studies/eagleview-case-study/";"primary_vendor_case";"high"
"FIN-023";"real_public";"Vertex Pharmaceuticals";"Biopharma";"ML image segmentation pipeline";"cost_percent";"Cost reduced 90%";"";"";"USD";"90";"90";"per_pipeline";"Image segmentation accelerated 11x";"AWS Step Functions distributed ML workflow";"operations, finance";"Use for analytical pipeline automation where manual expert review is expensive";"https://aws.amazon.com/solutions/case-studies/vertex-pharmaceuticals-distributed-map/";"primary_vendor_case";"high"
"FIN-024";"real_public";"OneMain Financial";"Financial services";"Automated digital forensics";"cost_percent";"Yearly costs down 98.8% and snapshot costs down 96.2%";"";"";"USD";"96.2";"98.8";"annual";"Investigation time reduced 97.5% and time to market down 77.8%";"AWS Step Functions automated forensic workflows";"operations, finance, strategy";"Use for risk, audit and security automation economics";"https://aws.amazon.com/solutions/case-studies/onemain-financial-aws-sfn-case-study/";"primary_vendor_case";"high"
"FIN-025";"real_public";"CyberGRX";"Cybersecurity, third-party risk";"ML workflow automation";"cost_percent";"Compute costs down 90%";"";"";"USD";"90";"90";"per_batch_workload";"Runtime reduced from up to 8 days to 1 hour";"AWS Step Functions Distributed Map for ML workflow";"operations, finance";"Use for scalable batch diagnostics and third-party risk scoring";"https://aws.amazon.com/solutions/case-studies/cybergrx-step-functions-case-study/";"primary_vendor_case";"high"
"FIN-026";"real_public";"Jabil";"Manufacturing";"Generative AI and manufacturing automation";"cost_percent";"23% cost savings";"";"";"USD";"23";"23";"program";"Data processing times down 74%, deployment times down 67-83%";"AWS transformation and shop-floor assistant";"operations, finance";"Use for manufacturing and operations process optimization";"https://aws.amazon.com/solutions/case-studies/jabil-manufacturing-transformation-generative-ai/";"primary_vendor_case";"high"
"FIN-027";"real_public";"BPC";"Payments technology";"Generative AI service and development";"cost_percent";"Chatbot costs down 66%";"";"";"USD";"66";"66";"run_rate";"4,000 lines of code generated, 46% acceptance rate";"Generative AI on AWS for service agents and developers";"operations, finance, team";"Use for support-agent and developer-productivity blended ROI";"https://aws.amazon.com/solutions/case-studies/bpc/";"primary_vendor_case";"high"
"FIN-028";"real_public";"Healthify";"Health and wellness";"Generative AI operations";"cost_percent";"Costs reduced 40%";"";"";"USD";"40";"40";"run_rate";"Query response times down 30% and 99.99% uptime";"Amazon Bedrock and operational modernization";"operations, finance";"Use for response-time and operating-cost improvement cases";"https://aws.amazon.com/solutions/case-studies/healthify-support-case-study/";"primary_vendor_case";"high"
"FIN-029";"real_public";"Juniper Networks";"Networking technology";"AI-driven support operations";"cost_multiplier";"30x cost reduction and millions saved in customer dollars";"";"";"USD";"";"";"program";"Targeted MTTR reduction 20%";"AWS Lambda and IoT for AI-driven networking operations";"operations, finance";"Use for incident-resolution and support-cost recommendations";"https://aws.amazon.com/solutions/case-studies/juniper-networks-case-study/";"primary_vendor_case";"high"
"FIN-030";"real_public";"Baker Hughes";"Energy";"HPC simulation";"cost_percent";"HPC costs down 40%";"";"";"USD";"40";"40";"workload_run_rate";"Wait time down 98%, runtime 26% faster";"AWS HPC for engineering simulation";"operations, finance, strategy";"Use when AI/compute modernization shortens R&D and modeling cycles";"https://aws.amazon.com/solutions/case-studies/baker-hughes-case-study/";"primary_vendor_case";"high"
"FIN-031";"real_public";"MongoDB";"Software, data platform";"Automation and AI operations";"cost_savings";"USD 7M cost savings over 3.5 years";"7000000";"7000000";"USD";"";"";"multi_year";"230K working hours saved, 120+ automations in 36 months";"Enterprise automation program with UiPath";"operations, finance, team";"Use for automation portfolio business case and cumulative ROI tracking";"https://www.uipath.com/resources/automation-case-studies/mongodb-future-with-automation-and-ai";"primary_vendor_case";"high"
"FIN-032";"real_public";"Siam Food Services";"Food distribution";"AI-powered order automation";"cost_savings";"USD 60K+ saved annually";"60000";"";"USD";"";"";"annual";"Order processing steps down 90%, 15K hours of manual work eliminated yearly";"UiPath intelligent automation for finance, pricing and order management";"operations, finance";"Use for order intake, quote processing and back-office automation in SMBs";"https://www.uipath.com/resources/automation-case-studies/siam-food-services-uses-ai-powered-automation-to-future-proof-operations";"primary_vendor_case";"high"
"FIN-033";"real_public";"Leaf Home";"Home services";"Process discovery and automation";"revenue_protection";"USD 3M in topline contributions safeguarded daily";"3000000";"3000000";"USD";"";"";"daily";"30K+ hours saved yearly and process documentation analysis time down 50%";"Task Mining plus AI-powered automation";"operations, marketing, finance";"Use for linking process automation to revenue leakage and sales operations";"https://www.uipath.com/resources/automation-case-studies/ai-powered-automation-drive-growth-at-leaf-home";"primary_vendor_case";"high"
"FIN-034";"real_public";"Wilhelmsen";"Shipping, logistics";"Intelligent automation";"cost_savings";"USD 300K saved, USD 1M savings potential";"300000";"1000000";"USD";"";"";"to_date_and_potential";"15 processes automated and 11K hours saved";"UiPath automation excellence program";"operations, finance";"Use for logistics/shared-service automation portfolio cases";"https://www.uipath.com/resources/automation-case-studies/wilhelmsen-the-voyage-to-intelligent-automation-excellence";"primary_vendor_case";"high"
"FIN-035";"real_public";"Uber";"Mobility, operations";"RPA operations automation";"roi_and_cost_savings";"USD 10M annual savings, USD 22M+ over 3 years, 350% ROI in one year";"10000000";"22000000";"USD";"";"";"annual_and_multi_year";"100+ automations and USD 500K saved monthly";"UiPath RPA for global operations";"operations, finance";"Use as strong ROI benchmark for high-volume back-office automation";"https://www.uipath.com/resources/automation-case-studies/uber-maintains-global-infrastructure-built-on-rpa";"primary_vendor_case";"high"
"FIN-036";"real_public";"Asymbl";"Professional services technology";"AI SDR and lead engagement";"cost_savings";"USD 575K annual savings";"575000";"575000";"USD";"";"";"annual";"Same coverage as a team 5x larger, targeted engagement scaled 427%";"Agentforce SDR workflow";"marketing, finance";"Use for automated lead qualification and outbound engagement economics";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary_vendor_story";"medium"
"FIN-037";"real_public";"Engine";"Travel technology";"Support AI agent";"cost_savings";"Estimated USD 2M annual cost savings";"2000000";"2000000";"USD";"";"";"annual_estimate";"Average handle time down 15%";"Agentforce routine cancellation automation";"operations, finance";"Use for transactional support automation and cost-per-contact reduction";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary_vendor_story";"medium"
"FIN-038";"real_public";"Sweeping Corporation of America";"Facilities, municipal services";"Customer operations AI agent";"cost_savings";"Estimated USD 10M operational cost savings";"10000000";"10000000";"USD";"";"";"estimate";"Work order submission and scheduling streamlined";"Agentforce common-case resolution via text or call";"operations, finance";"Use cautiously as work-order automation value-sizing example";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary_vendor_story";"medium"
"FIN-039";"real_public";"Toolstation";"Retail ecommerce";"AI product search";"revenue_percent";"5.5% increase in overall search-based revenue";"";"";"GBP";"5.5";"5.5";"run_rate";"No-results searches cut from 2% to 0.1%, CTR +10%";"Vertex AI Search for commerce";"marketing, finance";"Use for ecommerce search and conversion uplift recommendations";"https://cloud.google.com/customers/toolstation-product-search";"primary_vendor_case";"high"
"FIN-040";"real_public";"Sift Lab";"Marketing analytics";"Vertex AI and Gemini marketing intelligence";"revenue_percent";"5-7% uplift in annual revenue across enterprise clients";"";"";"USD";"5";"7";"annual";"ROAS +40-50%, campaign performance up to 200%, analytics 10x faster";"Google Cloud marketing data intelligence platform";"marketing, finance, strategy";"Use for marketing attribution and campaign optimization cases";"https://cloud.google.com/customers/sift-lab";"primary_vendor_case";"high"
"FIN-041";"real_public";"IndiGo";"Airline";"AI booking channel";"revenue_growth";"INR 60+ crore, approx USD 7.2M, in new revenue";"600000000";"";"INR";"";"";"to_date";"1M+ boarding passes issued through WhatsApp check-in";"Vertex AI and Gemini conversational booking assistant";"marketing, finance, operations";"Use for chat-based revenue channel and lead-to-sale automation";"https://cloud.google.com/customers/indigo";"primary_vendor_case";"high"
"FIN-042";"real_public";"AES";"Energy";"GenAI safety audit";"cost_percent";"Audit costs reduced by 99%";"";"";"USD";"99";"99";"per_audit";"Audit results from 14 days to 1 hour, annual audit capacity doubled";"Vertex AI and Claude for safety-audit agents";"operations, finance, strategy";"Use for audit automation and expert-review cost reduction";"https://cloud.google.com/customers/aes";"primary_vendor_case";"high"
"FIN-043";"real_public";"AdVon Commerce";"Retail content";"GenAI product content";"revenue_growth";"USD 17M revenue increase in 60 days";"17000000";"17000000";"USD";"";"";"60_days";"Average daily sales +67%, conversions +41%, top search placements +30%";"Gemini and Veo for product content enhancement";"marketing, finance";"Use for catalog/content recommendations with revenue uplift benchmarks";"https://cloud.google.com/customers/advon";"primary_vendor_case";"high"
"FIN-044";"real_public";"Pints.ai";"Financial AI platform";"AI workflow optimization";"cost_savings";"Over USD 45K saved in pre-training, fine-tuning and labor costs, 30% overall cost reduction";"45000";"";"USD";"30";"30";"per_project";"8 hours saved in model workflow";"Google Cloud GPU and Vertex AI optimization";"operations, finance";"Use for cost-aware model training and model-selection recommendations";"https://cloud.google.com/customers/pints-ai";"primary_vendor_case";"high"
"FIN-045";"real_public";"Systalyze";"AI application optimization";"AI deployment cost optimization";"cost_percent";"Up to 90% reduction in AI deployment costs";"";"";"USD";"90";"90";"workload_run_rate";"2-15x performance gains and 10x more accurate AI agents";"GKE-based AI optimization";"operations, finance, strategy";"Use for AI scaling recommendations: optimize before broad rollout";"https://cloud.google.com/customers/systalyze";"primary_vendor_case";"high"
"FIN-046";"real_public";"AssemblyAI";"Speech AI";"AI infrastructure scaling";"cost_percent";"75% reduction in data storage and infrastructure costs";"";"";"USD";"75";"75";"run_rate";"Model evaluation time from 24 hours to 20 minutes";"Google Cloud and Vertex AI for large-scale model pipelines";"operations, finance";"Use for data/storage-heavy AI economics";"https://cloud.google.com/customers/assemblyai";"primary_vendor_case";"high"
"FIN-047";"real_public";"NAMA";"AIaaS, customer service";"AI model optimization";"cost_percent";"55% cost reduction in new AI models";"";"";"USD";"55";"55";"new_model_build";"50% less response time and 87.5% faster model development";"Google Cloud AI model optimization";"operations, finance";"Use for custom AI-agent build cost reduction";"https://cloud.google.com/customers/nama";"primary_vendor_case";"high"
"FIN-048";"real_public";"Wipro Enterprises";"FMCG";"AI sales recommendations";"revenue_percent";"AI recommendations boost retail sales lines by 15-20%";"";"";"INR";"15";"20";"sales_line";"15,000 new outlets identified and 30-40% repeat purchase rate from new outlets";"Vertex AI, BigQuery and Google Maps for sales expansion";"marketing, finance, strategy";"Use for market expansion and sales-prioritization recommendations";"https://cloud.google.com/customers/wipro-da";"primary_vendor_case";"high"
"FIN-049";"real_public";"THE ICONIC";"Fashion ecommerce";"AI search and discovery";"revenue_percent";"2.6% increase in revenue";"";"";"AUD";"2.6";"2.6";"run_rate";"Null customer searches reduced from 5% to almost 0";"AI-powered search and discovery on Google Cloud";"marketing, finance";"Use for ecommerce discovery uplift benchmark";"https://cloud.google.com/customers/the-iconic";"primary_vendor_case";"high"
"FIN-050";"real_public";"Millennium bcp";"Banking";"Marketing analytics and first-party audiences";"cost_and_conversion";"CPA down 36%, owned media conversion rate 2.6x higher";"";"";"EUR";"36";"36";"campaign";"Conversion volume 2.4x greater, paid conversion rates 1.9x higher";"BigQuery, GA4 and first-party data activation";"marketing, finance";"Use for paid-media efficiency and acquisition economics";"https://cloud.google.com/customers/millennium-bcp";"primary_vendor_case";"high"
"FIN-051";"real_public";"UPS ORION";"Logistics";"Route optimization";"cost_savings";"Estimated up to USD 50M annual savings";"50000000";"50000000";"USD";"";"";"annual";"100M miles and 10M gallons of fuel saved annually";"Operations research and route optimization algorithms";"operations, finance";"Use for route, scheduling and field-force optimization economics";"https://ops.fhwa.dot.gov/publications/fhwahop19015/2018summary24.htm";"government_summary";"high"
"FIN-052";"real_public";"Walmart + Pactum";"Retail procurement";"AI negotiation";"spend_savings_percent";"Approx. 1.5% savings on negotiated spend in tail-end supplier contracts";"";"";"USD";"1.5";"1.5";"negotiated_spend";"64% supplier agreements reached and payment terms extended by about 35 days";"AI negotiation chatbot for high-volume supplier negotiations";"finance, operations";"Use for commercial negotiation and procurement saving recommendations";"https://thunderbird.asu.edu/thought-leadership/journals-case-series/case-series-listing/pactums-ai-contract-negotiations";"business_school_case";"medium"
"FIN-053";"real_public";"MCI Group";"Events, professional services";"Microsoft 365 Copilot adoption";"savings_potential";"A 1% productivity increase could mean USD 2M annual savings potential";"2000000";"2000000";"USD";"1";"1";"annual_potential";"Prompt Buddy and Copilot training created a central prompt library";"Copilot adoption with team AI transformation plans";"team, finance";"Use for conservative productivity-to-money conversion in professional-services firms";"https://www.microsoft.com/en/customers/story/21168-mci-group-microsoft-365-copilot";"primary_vendor_case";"high"
"FIN-054";"real_public";"Broward County Public Schools";"Education, public sector";"Microsoft 365 Copilot and facilities analytics";"savings_projection";"Projected USD 40-50M facilities savings over 5 years";"40000000";"50000000";"USD";"";"";"five_year_projection";"Educators reclaimed 6-7 hours weekly";"Copilot licenses plus data-rich operational workflows";"operations, finance, team";"Use cautiously for public-sector productivity and facilities optimization";"https://www.microsoft.com/en/customers/story/26258-broward-county-public-schools-microsoft-365-copilot";"primary_vendor_case";"medium"
"FIN-055";"synthetic_model";"Consulting agency, 5 consultants";"Consulting SMB";"AI presales qualification and КП draft";"modeled_savings";"Model: 40 leads/month * 8 manual hours * RUB 3,000/hour * 60% automation = RUB 576K/month capacity released";"576000";"576000";"RUB";"60";"60";"monthly_model";"Target: КП draft in 30 minutes instead of 8 hours";"Adaptive survey, service catalog matching and proposal generator";"operations, finance, marketing";"Use as Revizor SMB pricing model; replace leads, hours and hourly cost with client data";"";"synthetic_model";"medium"
"FIN-056";"synthetic_model";"Consulting agency, 20 consultants";"Consulting mid-market";"AI RFP and proposal generation";"modeled_savings";"Model: 80 RFPs/month * 12 manual hours * RUB 4,000/hour * 50% automation = RUB 1.92M/month capacity released";"1920000";"1920000";"RUB";"50";"50";"monthly_model";"Target: senior consultants spend more time on client work, less on drafts";"RAG over case library, automated КП skeleton and human review";"operations, finance, team";"Use for agencies where senior consultant hours are the bottleneck";"";"synthetic_model";"medium"
"FIN-057";"synthetic_model";"B2B service company";"B2B services";"AI support and lead triage";"modeled_savings";"Model: 2,000 inquiries/month * 12 minutes * RUB 700/hour * 50% deflection = RUB 140K/month direct labor avoided";"140000";"140000";"RUB";"50";"50";"monthly_model";"Target: 24/7 first response and fewer repeated questions";"Support agent with FAQ/RAG and escalation rules";"operations, finance, marketing";"Use when client has high inbound volume but low answer consistency";"";"synthetic_model";"medium"
"FIN-058";"synthetic_model";"SMB finance department";"SMB finance";"AI document extraction from invoices and reports";"modeled_savings";"Model: 1,500 docs/month * 10 minutes * RUB 900/hour * 70% automation = RUB 157.5K/month";"157500";"157500";"RUB";"70";"70";"monthly_model";"Target: lower manual parsing time and fewer data-entry errors";"Document AI with validation queue and audit log";"finance, operations";"Use for PDF/Excel upload feature in Revizor and client finance diagnostics";"";"synthetic_model";"medium"
"FIN-059";"synthetic_model";"Ecommerce SMB";"Retail ecommerce";"AI product search and catalog enrichment";"modeled_revenue_uplift";"Model: RUB 20M monthly online revenue * 2% conservative uplift = RUB 400K/month incremental revenue";"400000";"400000";"RUB";"2";"2";"monthly_model";"Target: reduce zero-result search and improve product-card quality";"AI search, product tagging and content enrichment";"marketing, finance";"Use for marketing recommendations tied to revenue uplift rather than hours saved";"";"synthetic_model";"medium"
"FIN-060";"synthetic_model";"Manufacturing distributor";"Wholesale, distribution";"AI demand and inventory analytics";"modeled_working_capital";"Model: RUB 50M average inventory * 5% overstock reduction = RUB 2.5M working capital released";"2500000";"2500000";"RUB";"5";"5";"one_time_or_run_rate";"Target: fewer stockouts and less dead stock";"Forecasting, ABC/XYZ segmentation and reorder recommendations";"operations, finance, strategy";"Use when uploaded Excel contains inventory, sales and stock movement";"";"synthetic_model";"medium"
"FIN-061";"synthetic_model";"Sales-led B2B company";"B2B sales";"AI CRM cleanup and next-best-action";"modeled_revenue_protection";"Model: RUB 100M annual pipeline * 3% conversion uplift = RUB 3M incremental booked revenue";"3000000";"3000000";"RUB";"3";"3";"annual_model";"Target: reduce stale deals and improve lead follow-up timing";"CRM enrichment, lead scoring and recommended next action";"marketing, finance, strategy";"Use for direct-sales recommendations where CRM data quality is poor";"";"synthetic_model";"medium"
"FIN-062";"synthetic_model";"Legal or accounting firm";"Professional services";"AI knowledge base and document drafting";"modeled_savings";"Model: 15 experts * 4 hours/week saved * RUB 3,500/hour * 4.33 weeks = RUB 909K/month capacity released";"909000";"909000";"RUB";"";"";"monthly_model";"Target: faster drafting, precedent search and internal Q&A";"RAG over templates, policies and prior deliverables with human approval";"team, operations, finance";"Use for expert-services firms with repeatable documents and expensive labor";"";"synthetic_model";"medium"
