"id";"company";"industry";"company_scale";"ai_area";"use_case";"quantitative_effect";"effect_status";"implementation_pattern";"revizor_zone";"how_to_reuse_in_recommendations";"source_url";"source_type";"confidence"
"AI-013";"Localiza";"Mobility, car rental";"enterprise";"Copilot productivity";"Microsoft 365 Copilot for repetitive office tasks, dashboards and customer feedback analysis";"Average 8.3 working hours reduced per employee per month, up to 19 hours for most engaged users, heavy users report 10.6% productivity increase";"actual";"Copilot adoption waves, hackathons and usage analytics";"team, operations";"Use as productivity benchmark for document, meeting and feedback summarization";"https://www.microsoft.com/en/customers/story/19818-localiza-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-014";"Tüpras";"Energy, industrial";"enterprise";"Copilot productivity";"Microsoft 365 Copilot across finance, HR, procurement, sales and marketing";"Employees save over 1 hour daily, estimated 5,000 hours saved monthly, setup took 1 week instead of up to 6 months for custom AI integration";"actual";"Broad Copilot rollout with departmental transformation teams";"operations, team";"Use as benchmark for quick-start AI deployment in existing productivity stack";"https://www.microsoft.com/en/customers/story/23105-tupras-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-015";"PA Consulting";"Professional services, consulting";"enterprise";"Copilot productivity, sales";"Copilot for Microsoft 365 and Copilot for Sales";"Average 3 hours saved per week, over 45,000 hours per year estimated for 300 users";"actual";"Customer-zero rollout in consulting firm, priority sales use cases";"marketing, team, strategy";"Highly relevant consulting benchmark for converting saved admin time into client-facing work";"https://www.microsoft.com/en/customers/story/1790507377097905834-paconsulting-dynamics-365-sales-professional-services-en-united-kingdom";"primary vendor customer story";"high"
"AI-016";"XP Inc.";"Financial services";"enterprise";"Copilot productivity, audit";"Microsoft 365 Copilot for meetings, audit and governance workflows";"Over 9,000 hours saved, audit team efficiency up 30%, governance team saved 7% of time";"actual";"Copilot expansion with value program and area-specific use cases";"finance, operations, team";"Use as benchmark for financial audit and governance diagnostics";"https://www.microsoft.com/en/customers/story/20560-xp-microsoft-365";"primary vendor customer story";"high"
"AI-017";"Quilter";"Financial services";"enterprise";"Copilot productivity, post-call admin";"Copilot reduces post-call administration for advisors";"Estimated 13,000+ hours per month saved for high-cost staff";"actual";"Microsoft 365 Copilot embedded into advisor workflows";"operations, finance";"Use for ROI cases where expensive expert time is consumed by admin work";"https://www.microsoft.com/en/customers/story/23237-quilter-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-018";"Ma'aden";"Mining";"enterprise";"Copilot productivity, policy agents";"Microsoft 365 Copilot, Copilot Studio and Azure OpenAI for daily tasks and policy agents";"36,600+ interactions and up to 2,200 hours saved monthly in first phase";"actual";"Enterprise Copilot plus Teams-integrated policy agents";"operations, team";"Use as benchmark for internal knowledge agents in regulated or policy-heavy companies";"https://www.microsoft.com/en/customers/story/21514-maaden-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-019";"Vodafone";"Telecommunications";"enterprise";"Copilot productivity, legal review";"Microsoft 365 Copilot trial for legal and business integrity work";"Users reported 4 hours saved per person per week, trial expanding from 300 users to 68,000";"actual";"Pilot-to-scale Copilot rollout";"operations, team";"Use as benchmark for contract review and meeting/email summarization";"https://www.microsoft.com/en/customers/story/19346-vodafone-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-020";"Kantar";"Market research, analytics";"enterprise";"Copilot productivity";"Microsoft 365 Copilot for client support, research and content workflows";"85% daily use rate, employees save 1.8 to 10 hours per week";"actual";"Broad Copilot adoption in client-facing research organization";"marketing, team, strategy";"Use as close analogue for consulting/analytics agencies improving client deliverables";"https://www.microsoft.com/en/customers/story/24603-kantar-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-021";"Talan";"Technology consulting";"enterprise";"Copilot productivity, recruiting";"Microsoft 365 Copilot for HR, marketing and consulting teams";"Recruiters see 10-20% more responses from right candidates, 80%+ daily usage among licensed users, nearly half save 1-2 hours per week";"actual";"Role-based adoption and internal satisfaction tracking";"team, marketing";"Use as example of AI-assisted outreach and targeted messaging";"https://www.microsoft.com/en/customers/story/24169-talan-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-022";"Capita";"Business process services";"enterprise";"Copilot agents, productivity";"Microsoft 365 Copilot and Copilot Agents for internal operations";"9,000 employee hours saved per month";"actual";"Copilot plus employee-built agents";"operations, team";"Use as benchmark for automation at BPO and shared-service scale";"https://www.microsoft.com/en/customers/story/24350-capita-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-023";"DWF";"Legal, professional services";"enterprise";"Copilot productivity, legal knowledge work";"Microsoft 365 Copilot helps complete legal/proposition work faster";"One task completed in 7 hours instead of 7 days";"actual";"Copilot for knowledge work, drafting and summarization";"operations, strategy";"Use as legal/professional-services proof for document-heavy consulting outputs";"https://www.microsoft.com/en/customers/story/22427-dwf-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-024";"Allegis Group";"Talent solutions, staffing";"enterprise";"Copilot, GitHub Copilot, Azure AI";"Integrated AI ecosystem across employees, developers and translation";"18K active Copilot users saved 150K hours, translation solution delivered USD 1.5M savings, adoption 70% with 85%+ target";"actual";"Microsoft 365 Copilot, GitHub Copilot, Copilot Studio, Azure AI Services";"operations, team, finance";"Use as multi-tool AI operating model benchmark with cross-functional metrics";"https://www.microsoft.com/en/customers/story/25451-allegis-group-azure-ai-services";"primary vendor customer story";"high"
"AI-025";"PwC";"Professional services, consulting";"enterprise";"Copilot at global scale";"Microsoft Copilot deployment across global network";"230K+ users, 500K+ hours of capacity created in October 2025, 8.7M+ Copilot actions in that month";"actual";"Global rollout with responsible AI, adoption and usage telemetry";"team, strategy";"Use as consulting-scale benchmark for AI adoption and capacity creation";"https://www.pwc.com/us/en/library/case-studies/pwc-microsoft-copilot-enterprise-ai.html";"primary company case study";"high"
"AI-026";"Accenture";"Professional services, consulting";"enterprise";"Microsoft 365 Copilot at global scale";"Global Microsoft 365 Copilot rollout across workforce";"Rollout to about 743K employees, 97% of surveyed employees reported routine tasks completed 15x faster, 53% reported significant productivity and efficiency improvements, 89% monthly active usage in a 200K-user phase";"actual";"Phased global Copilot rollout with change management and governance";"team, strategy, operations";"Use as large-consulting benchmark for scaling AI adoption, training and telemetry";"https://news.microsoft.com/source/features/digital-transformation/accenture-is-rolling-out-copilot-to-a-workforce-the-size-of-denver/";"primary vendor story";"high"
"AI-027";"Saxo Bank";"Financial services, trading";"enterprise";"GitHub Copilot, customer chatbot";"GitHub Copilot for developers and AI chatbot for clients";"400+ of 700 developers using GitHub Copilot, about 30% code acceptance rate, AI-written code used in almost every new application";"actual";"Copilot for engineering plus business-wide AI strategy";"team, operations";"Use for software-heavy AI recommendations where developer productivity matters";"https://www.microsoft.com/en/customers/story/24389-saxo-bank-github-copilot";"primary vendor customer story";"high"
"AI-028";"Accenture";"Professional services, consulting";"enterprise";"GitHub Copilot";"Enterprise developer productivity trial and rollout";"12K developers using Copilot, 95% enjoy coding more, 67% use daily, 96% success rate among users, randomized trial found more successful builds and more pull requests";"actual";"GitHub Copilot Business plus controlled measurement";"team, operations";"Use as evidence that AI coding adoption should be measured with PRs, builds, acceptance and developer experience";"https://github.com/customer-stories/accenture";"primary vendor customer story";"high"
"AI-029";"Trimble";"Industrial technology, hardware and software";"enterprise";"GitHub Copilot";"AI pair programming for 2,000+ developers";"1,000 hours of developer time saved per day, 90% of 2,000+ developers using GitHub Copilot";"actual";"GitHub Copilot in day-to-day development practices";"team, operations";"Use as high-volume engineering benchmark for daily capacity unlocked";"https://github.com/customer-stories/trimble";"primary vendor customer story";"high"
"AI-030";"TELUS";"Telecommunications";"enterprise";"Developer platform, DevOps consolidation";"GitHub platform and developer tools replacing fragmented DevOps";"USD 16.9M costs saved, 2 hours saved per developer per week, 1 minute saved per GitHub Actions execution";"actual";"GitHub Enterprise, Actions, Advanced Security, Codespaces and Issues";"operations, finance, team";"Use for recommendations about tooling consolidation and AI-ready engineering workflows";"https://github.com/customer-stories/telus";"primary vendor customer story";"high"
"AI-031";"Duolingo";"Education technology";"enterprise";"GitHub Copilot, Codespaces";"AI-assisted engineering standards and review acceleration";"25% increase in developer speed, 67% decrease in median code review turnaround time, 70% increase in pull requests, largest repo setup in 1 minute";"actual";"Copilot plus standardized cloud development environments";"team, operations";"Use as benchmark for engineering teams where code review and onboarding are bottlenecks";"https://github.com/customer-stories/duolingo";"primary vendor customer story";"high"
"AI-032";"GitHub";"Software platform";"enterprise";"AI customer success";"Copilot for Customer Success scales support and adoption guidance";"2M+ conversations, 68% self-help success rate, +0.15% higher CSAT on tickets touched by Copilot";"actual";"AI support layer grounded in internal expertise and customer success content";"operations, marketing";"Use as pattern for self-service consulting guidance and support deflection";"https://resources.github.com/enterprise/scaling-customer-success-ai/";"primary vendor story";"high"
"AI-033";"TELUS";"Telecommunications";"enterprise";"Enterprise genAI platform";"Fuel iX platform gives employees curated AI model access";"57K+ team members enabled, 13K+ custom AI solutions created, 47 large-scale genAI products, USD 90M+ benefits to date, 500K+ hours saved, code shipping 30% faster";"actual";"Enterprise AI platform with model choice, privacy and custom solution creation";"team, strategy, operations";"Use as best-practice reference for AI platform plus governed experimentation";"https://cloud.google.com/customers/telusai";"primary vendor customer story";"high"
"AI-034";"Kraft Heinz";"Consumer packaged goods";"enterprise";"Marketing content, innovation";"TasteMaker generative AI platform for product concepting and marketing content";"New product content development cut from 8 weeks to 8 hours, 75% faster time-to-value for AI-supported processes, thousands of hours saved, 70% adoption";"actual";"Promptless GenAI platform using BigQuery, Vertex AI, Gemini, Imagen and Veo";"marketing, strategy";"Use as benchmark for generating proposal and pitch content from structured brand and product intelligence";"https://cloud.google.com/customers/kraftheinz";"primary vendor customer story";"high"
"AI-035";"Super-Pharm";"Retail pharmacy, ecommerce";"enterprise";"Demand forecasting, inventory";"Vertex AI and BigQuery optimize ecommerce inventory and demand";"Demand forecasting up to 10x more efficient, inventory accuracy improved from about 50% to 90%";"actual";"ML demand forecasting with Vertex AI AutoML and BigQuery";"operations, finance";"Use as benchmark for inventory, capacity or demand diagnostics in client recommendations";"https://cloud.google.com/customers/super-pharm";"primary vendor customer story";"high"
"AI-036";"Millennium bcp";"Banking";"enterprise";"Marketing analytics, personalization";"BigQuery-powered first-party audiences for digital sales campaigns";"Owned media conversion rate 2.6x higher, conversion volume 2.4x greater, paid media conversion volume doubled, paid conversion rates 1.9x higher, CPA down 36%";"actual";"BigQuery, GA4, Display & Video 360, Firebase and first-party data activation";"marketing, finance";"Use as benchmark for AI/data-driven client acquisition and conversion uplift";"https://cloud.google.com/customers/millennium-bcp";"primary vendor customer story";"high"
"AI-037";"Apex Fintech Solutions";"Financial technology";"enterprise";"Security analytics";"AI/data platform accelerates threat detection";"Threat detection turnaround time reduced by up to 75%";"actual";"Google Cloud security and analytics stack";"operations, strategy";"Use as benchmark for risk diagnostics and security monitoring recommendations";"https://cloud.google.com/customers/";"primary vendor customer index";"medium"
"AI-038";"Systalyze";"Enterprise AI application optimization";"mid-market";"AI infrastructure performance";"AI application cost and performance optimization on Google Kubernetes Engine";"2-15x performance gains and 90% cost reductions";"actual";"GKE-based AI application optimization";"operations, finance";"Use as benchmark for recommending cost controls before scaling AI workloads";"https://cloud.google.com/customers/";"primary vendor customer index";"medium"
"AI-039";"Uniformed Services University PHOENIX Project";"Healthcare research, public sector";"enterprise";"Healthcare analytics";"Combines 70+ health, census, social and environmental datasets";"Potential USD 10B annual cost savings from insights that improve healthcare outcomes";"potential";"BigQuery and Google Cloud analytics with Vertex AI";"strategy, finance";"Use cautiously as large-scale public-data enrichment example for open-data fallback";"https://cloud.google.com/customers/";"primary vendor customer index";"medium"
"AI-040";"Viral Nation";"Marketing technology";"enterprise";"Brand safety, content analysis";"Gemini scans creator history for brand fit and safety";"15 years of content scanned in 48 hours";"actual";"Multimodal/content analysis with Gemini";"marketing";"Use as benchmark for fast due diligence and risk screening from large unstructured content sets";"https://cloud.google.com/customers/";"primary vendor customer index";"medium"
"AI-041";"EXL";"Data analytics, insurance services";"enterprise";"Insurance underwriting";"Generative AI underwriting assistant for document-heavy insurance workflows";"Underwriting costs reduced by up to 80%, processing accelerated from days to hours, application built in 60 days";"actual";"Amazon Bedrock, Kendra, Textract and Comprehend with RAG assistant";"operations, finance";"Use as direct analogue for document parsing plus diagnostic recommendation generation";"https://aws.amazon.com/solutions/case-studies/exl-case-study/";"primary vendor customer story";"high"
"AI-042";"Chime Financial";"Fintech, banking";"enterprise";"Contact center, call summarization";"AI-powered call summaries for customer service agents";"250K+ hours saved per year, 18-second reduction in agent handling time, NPS up 5 points, USD 700K annual efficiency gains";"actual";"Amazon Bedrock with Claude for call summarization inside agent workflow";"operations, marketing";"Use as benchmark for summarizing discovery calls and reducing CRM/admin effort";"https://aws.amazon.com/solutions/case-studies/chime-financial-case-study/";"primary vendor customer story";"high"
"AI-043";"Parameta, TP ICAP";"Financial markets data";"enterprise";"Compliance review";"Generative AI automates regulatory compliance reviews";"Review time reduced from 1 month to minutes";"actual";"Amazon Bedrock for regulatory document analysis";"finance, operations, strategy";"Use as benchmark for compliance, policy and contract-review recommendations";"https://aws.amazon.com/solutions/case-studies/parameta-tp-icap-bedrock/";"primary vendor customer story";"high"
"AI-044";"Orion Health";"Healthcare software";"enterprise";"Internal knowledge retrieval";"Oribot chatbot answers from internal records";"50 staff hours per day reclaimed, 10x more cost-effective than off-the-shelf chatbot solutions, answers from 500K+ records in under 1 minute, prototype in 2 months";"actual";"Amazon Bedrock knowledge chatbot";"operations, team";"Use as benchmark for internal knowledge bases in service catalogs and methodology libraries";"https://aws.amazon.com/solutions/case-studies/orion-health-case-study/";"primary vendor customer story";"high"
"AI-045";"EagleView";"Geospatial software";"enterprise";"ML extraction performance";"SageMaker optimizes complex data extraction models";"Model performance improved 300-400%, compute costs down 40-50%, processing time down 90%, 99.9999% uptime";"actual";"Amazon SageMaker model training and deployment optimization";"operations, finance";"Use as evidence that model/infrastructure optimization can be a standalone AI recommendation";"https://aws.amazon.com/cn/solutions/case-studies/eagleview-case-study/";"primary vendor customer story";"high"
"AI-046";"PlanRadar";"Construction, real estate technology";"enterprise";"Computer vision, documentation";"AI visual documentation for construction sites";"90% time savings compared with similar solutions, 500 square meters documented in 5 minutes, 97% positioning accuracy";"actual";"360-degree imagery, mapping and AI on AWS";"operations";"Use as benchmark for automating evidence collection and audit trails";"https://aws.amazon.com/solutions/case-studies/planradar-aws-case-study/";"primary vendor customer story";"high"
"AI-047";"Vertex Pharmaceuticals";"Biopharma";"enterprise";"Image segmentation, research automation";"Automated ML image segmentation for scientific experiments";"Image segmentation accelerated 11x, cost reduced 90%";"actual";"AWS Step Functions Distributed Map for ML image pipeline";"operations, finance";"Use as benchmark for automating analytical pipelines with large data volume";"https://aws.amazon.com/solutions/case-studies/vertex-pharmaceuticals-distributed-map/";"primary vendor customer story";"high"
"AI-048";"OneMain Financial";"Financial services";"enterprise";"Security forensics automation";"Self-serve automated digital forensics solution";"Investigation time reduced 97.5%, yearly costs down 98.8%, time to market down 77.8%, snapshot costs down 96.2%";"actual";"AWS Step Functions for automated forensic workflows";"operations, finance, strategy";"Use as security and risk-operations automation benchmark";"https://aws.amazon.com/solutions/case-studies/onemain-financial-aws-sfn-case-study/";"primary vendor customer story";"high"
"AI-049";"CyberGRX";"Cybersecurity, third-party risk";"enterprise";"ML workflow automation";"Quarterly predictive ML modeling over large company-risk datasets";"Runtime reduced from up to 8 days to 1 hour, compute costs down 90%, scales to 10K concurrent processes";"actual";"AWS Step Functions Distributed Map for ML workflow";"operations, finance";"Use for recommendations around scalable batch diagnostics and risk scoring";"https://aws.amazon.com/solutions/case-studies/cybergrx-step-functions-case-study/";"primary vendor customer story";"high"
"AI-050";"Booz Allen";"Consulting, cyber defense";"enterprise";"Agentic AI, malware analysis";"Vellox Reverser for AI-powered malware reverse engineering";"One malware reverse-engineering use case reduced from 1 month to 30 minutes, 3-4 months from PoC to production";"actual";"Agentic AI product on AWS Lambda";"operations, strategy";"Use as benchmark for expert analytical work compressed by AI agents";"https://aws.amazon.com/solutions/case-studies/booz-allen-case-study/";"primary vendor customer story";"high"
"AI-051";"Healthify";"Health and wellness";"enterprise";"Generative AI feature development, operations";"AWS generative AI and operational excellence";"Costs reduced 40%, query response times down 30%, 99.99% uptime, developer time reduced from hours to minutes";"actual";"Amazon Bedrock and AWS operational services";"operations, finance";"Use as benchmark for AI platform modernization and response-time improvement";"https://aws.amazon.com/solutions/case-studies/healthify-support-case-study/";"primary vendor customer story";"high"
"AI-052";"Jabil";"Manufacturing, supply chain";"enterprise";"Manufacturing AI, process optimization";"AI-driven solutions for global shop-floor and data processing";"Data processing times down 74%, deployment times down 67-83%, 23% cost savings, first shop-floor assistant iteration built in 1 week";"actual";"AWS multi-year transformation and generative AI assistant";"operations, finance";"Use as manufacturing and operations benchmark for AI assistants plus process automation";"https://aws.amazon.com/solutions/case-studies/jabil-manufacturing-transformation-generative-ai/";"primary vendor customer story";"high"
"AI-053";"Juniper Networks";"Networking technology";"enterprise";"AI-driven support, IoT operations";"Serverless AI-driven solution for network lifecycle troubleshooting";"30x cost reduction, millions saved in customer dollars, targeted MTTR reduction 20%";"actual";"AWS Lambda and IoT Greengrass for AI-driven networking operations";"operations, finance";"Use as benchmark for support and incident-resolution recommendations";"https://aws.amazon.com/solutions/case-studies/juniper-networks-case-study/";"primary vendor customer story";"high"
"AI-054";"Baker Hughes";"Energy, industrial engineering";"enterprise";"HPC and simulation";"Cloud HPC for computational fluid dynamics and turbine design";"HPC costs down 40%, wait time down 98%, runtime 26% faster, carbon footprint down 99%";"actual";"AWS HPC for simulation workloads";"operations, finance";"Use as example where AI/compute modernization affects R&D cycle time and cost";"https://aws.amazon.com/solutions/case-studies/baker-hughes-case-study/";"primary vendor customer story";"high"
"AI-055";"BPC";"Payments technology";"enterprise";"Generative AI for customer service and development";"AI-powered support and code workflows";"Chatbot costs down 66%, 4,000 lines of code generated, 46% acceptance rate, 6,640 Java lines scanned";"actual";"Generative AI on AWS for service agents and developers";"operations, team";"Use as benchmark for combining customer support and developer productivity in regulated payments";"https://aws.amazon.com/solutions/case-studies/bpc/";"primary vendor customer story";"high"
"AI-056";"Canon USA";"Imaging, B2B equipment";"enterprise";"AI document processing";"Invoice processing with UiPath AI document understanding";"4,500 invoices processed monthly, 6,000 hours saved annually, 90% straight-through processing";"actual";"Document Understanding and RPA for invoice extraction";"finance, operations";"Use as direct benchmark for PDF/Excel parsing in Revizor";"https://www.uipath.com/resources/automation-case-studies/canon-leverages-ai-for-document-processing";"primary vendor customer story";"high"
"AI-057";"Cognizant";"IT services, consulting";"enterprise";"RPA citizen development";"Automation-driven culture using UiPath";"7,000 associates trained, 450K+ hours saved, 60K+ target trained employees";"actual";"Citizen-led automation program and UiPath RPA";"team, operations";"Use as consulting-scale benchmark for democratized automation";"https://www.uipath.com/resources/automation-case-studies/cognizant-scale";"primary vendor customer story";"high"
"AI-058";"LG Chem";"Chemicals, manufacturing";"enterprise";"OCR, document automation";"UiPath Document Understanding for handwritten calibration reports";"350 tasks automated since 2019, 14K total hours saved, processing time reduced 70%+";"actual";"AI OCR plus RPA for structured process automation";"operations";"Use as benchmark for extracting metrics from semi-structured documents";"https://www.uipath.com/resources/automation-case-studies/ai-cases-applied-to-lg-chem-ocr";"primary vendor customer story";"high"
"AI-059";"MongoDB";"Software, data platform";"enterprise";"Automation and AI operations";"RPA and AI for repetitive internal workflows";"USD 7M cost savings over 3.5 years, 230K working hours saved, 120+ automations deployed in 36 months";"actual";"Enterprise automation program with UiPath";"operations, finance, team";"Use as benchmark for building automation portfolio and tracking cumulative impact";"https://www.uipath.com/resources/automation-case-studies/mongodb-future-with-automation-and-ai";"primary vendor customer story";"high"
"AI-060";"BAL";"Legal services, immigration";"enterprise";"Legal process automation";"Unattended robots automate paperwork-heavy immigration workflows";"10K hours saved over 6 months, 16 full-time workloads completed by RPA, 100% robots unattended in production";"actual";"UiPath unattended RPA for legal operations";"operations, team";"Use as professional-services benchmark for freeing experts from back-office paperwork";"https://www.uipath.com/resources/automation-case-studies/bal";"primary vendor customer story";"high"
"AI-061";"Siam Food Services";"Food distribution";"enterprise";"AI-powered order automation";"Automation of finance, pricing and order management";"Order processing steps down 90%, 15K hours of yearly manual work eliminated, USD 60K+ saved annually";"actual";"UiPath intelligent automation foundation";"operations, finance";"Use as benchmark for order intake and quote-processing automation";"https://www.uipath.com/resources/automation-case-studies/siam-food-services-uses-ai-powered-automation-to-future-proof-operations";"primary vendor customer story";"high"
"AI-062";"Leaf Home";"Home services, manufacturing";"enterprise";"Process discovery, automation";"Task Mining and AI-powered automation for customer contact requests and process docs";"USD 3M in topline contributions safeguarded daily, process documentation analysis time down 50%, 30K+ hours saved yearly";"actual";"Task Mining plus automation portfolio";"marketing, operations, finance";"Use as benchmark for finding automation opportunities from process traces";"https://www.uipath.com/resources/automation-case-studies/ai-powered-automation-drive-growth-at-leaf-home";"primary vendor customer story";"high"
"AI-063";"Fiserv";"Fintech, payments";"enterprise";"Agentic AI and automation";"Merchant category code validation automation";"12K hours saved per year, 98% end-to-end process automation for the MCC use case";"actual";"UiPath agentic automation for financial operations";"finance, operations";"Use as benchmark for automating validation workflows with high compliance expectations";"https://www.uipath.com/resources/automation-case-studies/fiserv-drives-enterprise-wide-agentic-ai-adoption";"primary vendor customer story";"high"
"AI-064";"Deluxe";"Financial services";"enterprise";"AI document and email analysis";"AI and automation for pricing cases and legal documents";"99% faster time to value for automations, 800 hours saved on a single pricing case, 11K emails analyzed in days";"actual";"UiPath AI and automation for legal/pricing analysis";"finance, operations";"Use as benchmark for commercial-offer pricing diagnostics from document corpora";"https://www.uipath.com/resources/automation-case-studies/deluxe-is-redefining-financial-efficiency-with-ai-and-automation";"primary vendor customer story";"high"
"AI-065";"Spotify";"Media and entertainment";"enterprise";"RPA automation portfolio";"UiPath automation center of excellence and citizen developers";"100+ bots in production, 45.5K+ hours saved, 24K hours capacity released";"actual";"Automation CoE with ROI metrics";"operations, team";"Use as benchmark for automation portfolio governance and benefits tracking";"https://www.uipath.com/resources/automation-case-studies/spotify-expands-commitment-automation";"primary vendor customer story";"high"
